weight,age,height,size
61,45.0,172.72,XL
58,34.0,167.64,M
53,31.0,157.48,S
63,29.0,170.18,XL
63,27.0,157.48,XL
52,45.0,162.56,S
56,30.0,167.64,XXS
58,32.0,162.56,M
67,29.0,175.26,XL
47,28.0,167.64,XXS
58,27.0,165.1,L
62,29.0,165.1,XL
50,35.0,170.18,S
63,28.0,170.18,XXXL
54,30.0,157.48,S
55,45.0,170.18,S
99,32.0,172.72,XXXL
58,34.0,175.26,S
63,25.0,172.72,L
72,22.0,165.1,XL
65,54.0,167.64,XXXL
58,28.0,165.1,M
79,28.0,157.48,XXXL
61,50.0,170.18,M
51,33.0,160.02,S
49,26.0,172.72,S
79,47.0,180.34,XXXL
61,39.0,165.1,M
65,29.0,167.64,XXXL
45,35.0,154.94,S
54,32.0,160.02,S
58,39.0,162.56,M
54,48.0,162.56,S
58,25.0,162.56,M
58,46.0,165.1,L
52,32.0,157.48,S
58,31.0,154.94,XL
58,28.0,160.02,S
61,37.0,160.02,L
65,26.0,177.8,M
79,37.0,177.8,XXXL
74,37.0,180.34,XL
68,30.0,172.72,L
56,44.0,167.64,M
63,36.0,165.1,L
48,45.0,162.56,S
47,38.0,160.02,S
73,38.0,165.1,XXXL
89,30.0,170.18,XXXL
52,21.0,162.56,M
55,34.0,167.64,XXS
48,37.0,165.1,XXS
63,35.0,165.1,XL
63,36.0,167.64,M
54,34.0,172.72,M
58,43.0,165.1,XL
56,33.0,160.02,S
53,41.0,157.48,S
61,32.0,165.1,L
65,31.0,175.26,L
68,34.0,160.02,XL
54,28.0,157.48,S
54,40.0,162.56,M
56,31.0,162.56,M
63,40.0,177.8,L
68,49.0,170.18,M
53,27.0,160.02,S
68,37.0,170.18,XL
68,38.0,175.26,L
58,26.0,157.48,XL
62,41.0,167.64,L
61,32.0,167.64,M
65,30.0,162.56,XXXL
68,43.0,152.4,XL
70,33.0,167.64,XXXL
49,30.0,154.94,XXS
45,33.0,162.56,XXS
50,43.0,167.64,S
52,61.0,170.18,S
53,27.0,162.56,M
52,20.0,165.1,S
61,29.0,167.64,S
58,23.0,165.1,S
61,39.0,165.1,L
54,38.0,160.02,XXS
49,24.0,160.02,S
51,25.0,167.64,S
77,26.0,175.26,XXXL
64,47.0,162.56,XL
56,22.0,170.18,S
56,42.0,160.02,M
72,31.0,175.26,L
49,32.0,154.94,XXS
74,23.0,172.72,XL
60,30.0,165.1,XXS
70,28.0,177.8,L
52,23.0,157.48,S
63,30.0,162.56,L
61,40.0,160.02,M
61,39.0,172.72,M
61,27.0,165.1,XXXL
70,31.0,162.56,XXXL
54,46.0,160.02,S
52,26.0,170.18,XXS
68,52.0,160.02,XXXL
61,28.0,162.56,L
52,40.0,172.72,S
70,31.0,157.48,XL
55,30.0,165.1,M
63,31.0,170.18,M
70,59.0,157.48,XXXL
48,35.0,157.48,S
81,36.0,170.18,XXXL
72,31.0,175.26,XL
56,54.0,152.4,L
56,27.0,162.56,M
65,33.0,165.1,L
68,49.0,180.34,XXXL
54,28.0,172.72,XXS
50,31.0,157.48,XXS
72,46.0,177.8,XXXL
58,33.0,172.72,XL
53,21.0,167.64,XXS
53,37.0,167.64,S
72,32.0,157.48,XL
49,31.0,157.48,XXS
78,40.0,170.18,XXXL
56,36.0,170.18,L
63,27.0,157.48,M
52,36.0,152.4,M
77,37.0,170.18,XL
81,40.0,170.18,XXXL
104,33.0,170.18,XXXL
73,49.0,177.8,XXXL
81,29.0,172.72,XXXL
63,31.0,167.64,M
64,29.0,165.1,M
61,24.0,165.1,M
74,32.0,172.72,XXXL
70,32.0,165.1,XL
74,46.0,165.1,XXXL
61,30.0,167.64,M
47,41.0,157.48,XXS
68,29.0,175.26,XL
70,29.0,187.96,XL
61,27.0,170.18,S
63,31.0,175.26,M
70,35.0,172.72,XL
63,27.0,162.56,M
74,33.0,175.26,XL
56,33.0,162.56,M
56,26.0,170.18,M
61,36.0,175.26,M
90,30.0,172.72,XXXL
52,52.0,162.56,S
52,29.0,167.64,M
50,32.0,165.1,XXS
68,44.0,170.18,XL
58,29.0,167.64,L
58,36.0,160.02,M
63,32.0,170.18,L
65,30.0,167.64,M
58,34.0,167.64,S
61,32.0,167.64,M
86,37.0,175.26,XXXL
57,28.0,170.18,M
45,34.0,157.48,XXS
78,38.0,172.72,XXXL
47,30.0,154.94,XXS
56,31.0,160.02,M
51,34.0,157.48,S
52,37.0,170.18,S
58,42.0,175.26,M
58,33.0,167.64,L
54,22.0,170.18,M
98,40.0,162.56,XXXL
70,39.0,175.26,XXXL
54,22.0,157.48,L
54,39.0,162.56,S
86,32.0,165.1,XXXL
50,35.0,170.18,S
65,27.0,172.72,XL
79,33.0,170.18,XXXL
52,35.0,160.02,S
63,30.0,167.64,L
61,25.0,165.1,M
47,28.0,167.64,XXS
54,36.0,160.02,S
65,47.0,175.26,XXXL
54,43.0,157.48,M
58,38.0,157.48,XL
61,24.0,170.18,M
66,37.0,154.94,XL
68,43.0,172.72,XL
104,28.0,170.18,XXXL
58,38.0,165.1,L
58,35.0,167.64,M
54,27.0,167.64,M
52,23.0,157.48,S
52,27.0,152.4,XXS
64,49.0,180.34,M
65,30.0,170.18,L
52,35.0,160.02,S
61,48.0,172.72,XL
54,23.0,167.64,M
65,25.0,167.64,XL
58,25.0,160.02,M
49,30.0,167.64,S
56,51.0,167.64,M
48,34.0,157.48,XXS
74,34.0,157.48,XXXL
65,43.0,165.1,XXXL
72,34.0,180.34,XL
63,29.0,162.56,L
81,30.0,175.26,XXXL
61,36.0,170.18,XL
58,62.0,162.56,XXXL
58,44.0,160.02,XL
54,32.0,165.1,S
56,43.0,160.02,M
72,32.0,167.64,XL
63,33.0,170.18,L
55,33.0,162.56,M
65,26.0,172.72,XL
70,33.0,165.1,XXXL
63,53.0,162.56,XXXL
61,36.0,177.8,M
52,28.0,162.56,XXS
68,28.0,170.18,L
71,38.0,165.1,XXXL
81,45.0,172.72,XXXL
53,65.0,160.02,L
63,33.0,157.48,XL
65,27.0,162.56,XL
57,63.0,162.56,M
55,31.0,157.48,M
63,39.0,170.18,XL
57,32.0,165.1,M
50,27.0,160.02,M
68,30.0,154.94,XXXL
46,29.0,152.4,S
61,34.0,157.48,XL
56,33.0,157.48,M
45,29.0,157.48,S
57,30.0,170.18,M
56,31.0,160.02,M
61,28.0,154.94,XL
61,33.0,172.72,L
74,39.0,167.64,XL
45,32.0,152.4,XXS
68,49.0,170.18,XL
95,35.0,162.56,XXXL
86,35.0,172.72,XXXL
48,25.0,157.48,XXS
65,34.0,175.26,M
61,34.0,160.02,L
63,43.0,170.18,M
58,32.0,170.18,M
61,30.0,157.48,XL
74,47.0,172.72,XXXL
56,29.0,170.18,XXS
70,35.0,175.26,XL
79,37.0,170.18,XXXL
68,24.0,170.18,XXXL
45,30.0,167.64,XXS
54,36.0,162.56,S
62,31.0,162.56,L
54,38.0,162.56,XXS
56,30.0,162.56,M
65,31.0,162.56,L
50,39.0,162.56,S
56,42.0,165.1,S
63,33.0,172.72,L
54,40.0,162.56,M
90,30.0,177.8,XXXL
45,36.0,157.48,XXS
52,32.0,162.56,S
61,29.0,165.1,L
52,30.0,167.64,S
45,26.0,149.86,S
55,34.0,162.56,S
83,29.0,170.18,XXXL
54,30.0,160.02,XXS
65,30.0,170.18,M
63,30.0,172.72,M
72,37.0,172.72,XXXL
63,30.0,177.8,L
61,32.0,162.56,L
61,45.0,157.48,XL
68,34.0,160.02,XXXL
76,34.0,152.4,XXXL
61,35.0,157.48,XL
56,38.0,167.64,M
59,31.0,170.18,L
70,31.0,170.18,L
55,27.0,170.18,S
54,34.0,162.56,S
58,23.0,160.02,S
60,27.0,167.64,S
68,28.0,182.88,L
61,45.0,157.48,XL
58,32.0,157.48,M
53,19.0,160.02,S
61,40.0,157.48,L
59,21.0,167.64,M
70,27.0,175.26,XXXL
66,41.0,170.18,L
62,29.0,160.02,XL
104,25.0,167.64,XXXL
72,29.0,182.88,L
58,23.0,160.02,M
52,44.0,160.02,S
52,45.0,157.48,S
70,28.0,172.72,XL
55,36.0,162.56,L
58,34.0,160.02,M
58,47.0,165.1,S
52,41.0,167.64,M
72,27.0,160.02,XXXL
54,22.0,165.1,S
54,21.0,167.64,S
54,27.0,165.1,XXS
74,27.0,182.88,XL
63,27.0,167.64,M
77,43.0,172.72,XL
61,52.0,162.56,XL
74,34.0,162.56,XL
63,28.0,177.8,M
60,33.0,170.18,L
49,28.0,162.56,XXS
68,33.0,170.18,L
57,20.0,162.56,M
65,34.0,167.64,XXXL
63,32.0,170.18,XL
68,46.0,167.64,XL
